Team,Average Age,Host,Continent,Goals,Home Team,Result
Brazil,Low,South America,South America,4,1,win
Switzerland,High,Africa,Europe,1,0,win
Russia,High,Europe,Europe,0,0,lose
Italy,High,North America,Europe,1,0,lose
Spain,High,Europe,Europe,6,1,win
Brazil,High,Europe,South America,2,0,win
Argentina,High,South America,South America,0,0,draw
Slovakia,High,Europe,Europe,0,0,lose
United Kingdom,High,Europe,Europe,2,0,draw
Brazil,High,South America,South America,1,0,draw
Brazil,High,Europe,South America,1,1,win
Slovakia,Low,North America,Europe,1,0,lose
Bulgaria,High,North America,Europe,2,0,lose
Uruguay,High,Africa,South America,0,1,draw
Sweden,High,Europe,Europe,0,0,lose
Spain,High,North America,Europe,3,0,win
France,High,North America,Europe,2,0,win
Spain,High,Europe,Europe,1,0,lose
Iran,High,Europe,Asia,1,0,lose
Colombia,High,South America,South America,4,0,win
Portugal,High,North America,Europe,1,1,lose
United Kingdom,High,Europe,Europe,0,0,lose
Netherlands,High,Africa,Europe,2,1,win
Brazil,High,South America,South America,0,1,lose
Russia,High,South America,Europe,4,1,draw
Bolivia,High,South America,South America,0,0,lose
Tunisia,High,Europe,Africa,0,0,lose
Portugal,High,Asia,Europe,2,0,lose
Paraguay,High,Asia,South America,3,0,win
Switzerland,High,Africa,Europe,0,1,draw
Croatia,High,Europe,Europe,3,0,win
Brazil,High,Asia,South America,2,1,win
Paraguay,High,North America,South America,1,1,win
Poland,High,Europe,Europe,0,1,draw
United Kingdom,High,Europe,Europe,2,1,win
Norway,High,North America,Europe,0,0,draw
Brazil,High,Europe,South America,0,1,lose
Costa Rica,High,Europe,North America,2,0,lose
Poland,High,Europe,Europe,0,0,draw
United Kingdom,High,Europe,Europe,2,1,win
Sweden,High,North America,Europe,3,1,win
Belgium,High,Europe,Europe,1,1,draw
Poland,High,Europe,Europe,0,1,lose
Portugal,Low,Africa,Europe,0,0,draw
Norway,High,North America,Europe,0,0,lose
United Kingdom,High,Europe,Europe,1,0,lose
France,High,Asia,Europe,0,0,lose
Costa Rica,High,Asia,North America,2,1,lose
Netherlands,High,North America,Europe,2,1,win
United Kingdom,High,North America,Europe,0,0,lose
Sweden,High,Europe,Europe,2,1,win
Chile,High,Europe,South America,0,0,lose
Serbia,High,South America,Europe,3,1,win
Denmark,High,Europe,Europe,1,0,draw
United Kingdom,High,Europe,Europe,1,0,lose
United Kingdom,High,Africa,Europe,0,1,draw
Uruguay,High,North America,South America,2,1,win
Mexico,High,Europe,North America,0,0,lose
USA,High,South America,North America,2,1,draw
Sweden,Low,North America,Europe,1,1,win
Mexico,High,Asia,North America,1,0,win
France,High,South America,Europe,0,0,draw
Slovakia,High,South America,Europe,1,1,win
Nigeria,High,North America,Africa,2,0,win
Netherlands,High,South America,Europe,5,1,win
Saudi Arabia,High,North America,Asia,1,0,win
Brazil,High,Europe,South America,3,0,win
Mexico,Low,Europe,North America,1,0,draw
Peru,High,South America,South America,1,0,lose
Tunisia,High,Europe,Africa,1,0,draw
United Kingdom,High,Europe,Europe,0,1,draw
Germany,High,South America,Europe,2,1,draw
Brazil,High,South America,South America,3,1,win
Hungary,High,Europe,Europe,1,0,lose
Switzerland,High,South America,Europe,2,1,win
Angola,High,Europe,Africa,1,0,draw
Switzerland,High,Europe,Europe,4,1,win
Spain,High,North America,Europe,2,0,win
Portugal,High,Europe,Europe,0,0,draw
Sweden,High,Europe,Europe,3,1,win
Italy,High,Europe,Europe,4,1,win
Poland,High,Europe,Europe,7,0,win
Argentina,High,Europe,South America,1,1,lose
Chile,High,South America,South America,2,0,win
Ecuador,High,South America,South America,1,0,lose
France,High,Europe,Europe,3,0,draw
United Kingdom,High,South America,Europe,0,0,lose
Morocco,High,North America,Africa,0,0,lose
Italy,High,Europe,Europe,1,1,draw
Uruguay,High,South America,South America,0,0,lose
Brazil,High,Africa,South America,1,0,lose
Algeria,High,South America,Africa,1,0,lose
Sweden,High,South America,Europe,2,0,lose
Saudi Arabia,High,North America,Asia,1,0,lose
Algeria,High,South America,Africa,4,0,win
Slovenia,High,Africa,Europe,2,1,draw
Italy,High,South America,Europe,1,0,lose
Austria,High,South America,Europe,3,1,win
Italy,High,Europe,Europe,1,1,win
Netherlands,High,Africa,Europe,3,0,win
Austria,High,Europe,Europe,1,0,draw
Netherlands,High,Africa,Europe,2,1,win
Germany,High,Europe,Europe,2,0,lose
Israel,High,North America,Asia,0,0,draw
United Kingdom,High,Europe,Europe,1,0,draw
Italy,High,North America,Europe,1,1,draw
Bulgaria,High,Europe,Europe,1,1,draw
Italy,High,Europe,Europe,1,0,lose
Algeria,Low,Africa,Africa,0,0,lose
Brazil,High,Europe,South America,3,1,win
Saudi Arabia,High,Asia,Asia,0,1,lose
Chile,High,South America,South America,2,1,win
France,High,Africa,Europe,1,1,lose
Russia,High,North America,Europe,2,1,win
Hungary,High,Europe,Europe,2,0,lose
Iraq,High,North America,Asia,1,1,lose
Chile,High,South America,South America,1,1,win
Netherlands,High,South America,Europe,3,1,win
Uruguay,High,South America,South America,6,1,win
Brazil,High,North America,South America,4,1,win
Brazil,High,Europe,South America,0,0,lose
Peru,High,North America,South America,2,0,lose
Argentina,High,Europe,South America,1,1,lose
Paraguay,High,Europe,South America,3,1,win
Mexico,High,North America,North America,2,1,win
Netherlands,High,Europe,Europe,2,1,win
Brazil,High,South America,South America,4,1,win
Turkey,High,Asia,Asia,0,0,lose
Germany,High,South America,Europe,2,1,win
Germany,High,South America,Europe,7,0,win
Germany,Low,North America,Europe,2,0,win
France,High,North America,Europe,4,1,win
Cameroon,High,North America,Africa,1,0,lose
United Kingdom,High,Europe,Europe,1,0,draw
Greece,High,South America,Europe,1,0,draw
Spain,High,Europe,Europe,1,1,lose
Portugal,High,Asia,Europe,0,1,lose
France,High,Europe,Europe,1,1,draw
Hungary,Low,Europe,Europe,6,1,win
Brazil,High,Europe,South America,3,1,win
South Korea,High,Africa,Asia,1,0,lose
Italy,Low,South America,Europe,0,0,draw
United Arab Emirates,High,Europe,Asia,1,0,lose
Croatia,High,Europe,Europe,1,0,lose
Mexico,High,North America,North America,2,0,win
Russia,Low,Europe,Europe,1,1,win
USA,High,Africa,North America,2,0,draw
Hungary,High,Europe,Europe,1,0,lose
South Korea,High,Europe,Asia,0,0,lose
Chile,High,Europe,South America,1,0,lose
Paraguay,High,Asia,South America,1,0,lose
Uruguay,High,South America,South America,1,0,win
Italy,High,Europe,Europe,1,1,win
Ivory Coast,High,Africa,Africa,0,1,draw
United Kingdom,High,North America,Europe,3,1,win
Romania,High,North America,Europe,3,0,win
Costa Rica,High,South America,North America,0,0,draw
Switzerland,Low,Europe,Europe,3,1,win
Netherlands,High,North America,Europe,0,0,lose
Mexico,High,Africa,North America,1,0,lose
Cameroon,High,North America,Africa,2,1,draw
Uruguay,High,South America,South America,2,1,win
Russia,High,Europe,Europe,2,1,draw
Switzerland,High,Europe,Europe,0,1,draw
Peru,High,South America,South America,0,0,lose
Italy,High,North America,Europe,4,1,win
United Kingdom,High,North America,Europe,1,0,lose
Morocco,High,Europe,Africa,3,0,win
El Salvador,High,North America,North America,0,0,lose
Slovakia,High,Africa,Europe,1,0,draw
Belgium,High,North America,Europe,1,1,win
Netherlands,High,Europe,Europe,1,0,draw
Sweden,Low,North America,Europe,1,1,draw
United Kingdom,High,North America,Europe,1,1,win
Belgium,High,Europe,Europe,0,0,lose
Russia,High,North America,Europe,4,1,win
USA,High,Europe,North America,1,0,draw
Serbia,Low,Europe,Europe,0,1,draw
France,Low,Europe,Europe,4,1,win
Paraguay,High,North America,South America,2,1,draw
United Kingdom,High,Europe,Europe,1,0,draw
Senegal,High,Asia,Africa,1,0,win
Bolivia,High,North America,South America,1,1,lose
Paraguay,Low,South America,South America,0,0,lose
France,High,Europe,Europe,3,0,win
Israel,High,North America,Asia,0,0,lose
El Salvador,High,Europe,North America,1,0,lose
Brazil,High,South America,South America,1,1,draw
South Korea,High,Asia,Asia,2,1,lose
Spain,High,Africa,Europe,0,1,lose
Norway,High,Europe,Europe,2,0,draw
Germany,High,Europe,Europe,2,1,win
United Kingdom,High,Europe,Europe,0,0,lose
Colombia,High,Europe,South America,2,0,win
Cameroon,High,Asia,Africa,1,1,win
France,High,Europe,Europe,3,0,win
