Team,Host,Average Age,Continent
Argentina,South America,High,South America
Australia,South America,High,Oceania
Belgium,South America,Low,Europe
Brazil,South America,High,South America
Colombia,South America,High,South America
Costa Rica,South America,High,North America
Croatia,South America,Low,Europe
Denmark,South America,Low,Europe
Egypt,South America,High,Africa
United Kingdom,South America,Low,Europe
France,South America,Low,Europe
Germany,South America,Low,Europe
Iceland,South America,High,Europe
Iran,South America,Low,Asia
Japan,South America,High,Asia
South Korea,South America,Low,Asia
Mexico,South America,High,North America
Morocco,South America,Low,Africa
Nigeria,South America,Low,Africa
Panama,South America,High,North America
Peru,South America,Low,South America
Poland,South America,High,Europe
Portugal,South America,High,Europe
Russia,South America,High,Europe
Saudi Arabia,South America,High,Asia
Senegal,South America,Low,Africa
Serbia,South America,Low,Europe
Spain,South America,High,Europe
Sweden,South America,High,Europe
Switzerland,South America,Low,Europe
Tunisia,South America,Low,Africa
Uruguay,South America,High,South America
